"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R167G06"	-0.126000563747052	0.468541468064824	0.433686474257108	0.503706148688675	0.0794928700721749	0.365429910182535
"R167H12"	-0.0739087094251554	0.48153122901276	0.440076144806234	0.523242141423834	0.385555900215081	0.767483470476819
"R168D04"	-0.185295632820743	0.453808180535966	0.423920683750752	0.484032360659254	0.00277650624052894	0.0275859329704166
"R168D10"	-0.377343747122762	0.406767712372224	0.377455089540101	0.436759671147574	1.83420034716164e-09	3.53083566828616e-08
"R170B03"	0.0595216989593573	0.514876033057851	0.468634332931789	0.560864428179356	0.528636959593928	0.85179409143371
"R170B08"	-0.156782952997579	0.460884353741497	0.414575128886782	0.507878783560884	0.102699395514288	0.402509246999658
"R170F08"	-0.075186914894606	0.481212121212121	0.441819454861726	0.520839748036076	0.35279234335979	0.759860431851856
"R170G12"	0.0426460560491392	0.510659898477157	0.474415498693699	0.546792565268195	0.564510878719948	0.85179409143371
"R171A01"	0.0160163583885748	0.504004004004004	0.468041398908767	0.539925226801825	0.827461703278146	0.988503036207334
"R171F03"	-0.0634603539172255	0.484140233722872	0.451393310670444	0.517023921773777	0.344524391492483	0.757953661283463
"R172A05"	-0.0811703652504953	0.479718543046358	0.447136079333348	0.512474458215439	0.224859534650754	0.617519382445546
"R172B02"	-0.101166711917038	0.474729871035204	0.444848459442517	0.50479335692255	0.0994181790468764	0.400597420230915
"R172B11"	-0.00542374210936207	0.49864406779661	0.469052211116835	0.528245426476175	0.928535207683506	0.989860051766172
"R172C12"	-0.039837552897318	0.490041928721174	0.453325035722126	0.526866577868058	0.596327327414868	0.883023157902786
"R172F04"	-0.0170398159090106	0.495740149094782	0.45869536495948	0.532831762642147	0.822124322372482	0.988503036207334
"R172G12"	-0.155596289041785	0.461179217746643	0.422722326021083	0.500103821557624	0.0506129669405724	0.282228449508654
"R173C02"	-0.103885744506721	0.474051896207585	0.423717509176938	0.52491921359491	0.317388774647918	0.731818139958774
"R173E04"	-0.106273719822406	0.473456547384978	0.441737770065138	0.505391024289765	0.103241008159003	0.402509246999658
"R173G10"	-0.176129586546033	0.456081081081081	0.410005207140949	0.502921136300594	0.0660584607612635	0.32796272297383
"R174C10"	-0.00422238487984786	0.498944405348346	0.456361750131668	0.541542378872452	0.961349994696633	0.989860051766172
"R174D10"	-0.0786259423834272	0.480353634577603	0.444873380098846	0.516033162332941	0.280451116279541	0.699467602091973
"R174G07"	-0.108432714694797	0.472918350848828	0.427578360195205	0.518709473632653	0.246293753061464	0.64286844019433
"R174H06"	-0.261019838707202	0.435113025799894	0.424044875621694	0.446246236771526	0	0
"R175E12"	-0.171635994168279	0.457196029776675	0.41761638388065	0.497323552378006	0.0365862986243057	0.230123861145264
"R175H06"	0.00473187002783318	0.501182965299684	0.469263072193452	0.533093218870416	0.942164966037176	0.989860051766172
