"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R105B06"	0.0511739555247086	0.512790697674419	0.481225418871835	0.54425428457258	0.427145324645874	0.868845447091217
"R105H08"	0.0184795592748371	0.504619758351102	0.461946318232395	0.547225997246946	0.832245925799865	0.988418333992562
"R106E07"	-0.0543767708780719	0.486409155937053	0.459364111996514	0.513534020052237	0.326082128356017	0.851756586452365
"R106F04"	-0.0269955043420116	0.493251533742331	0.465222786724242	0.521322766125285	0.637647963609259	0.910761974207259
"R106G12"	0.0191291699089954	0.504782146652497	0.481414479174019	0.528128940633605	0.688445554577944	0.919646934740951
"R107C05"	-0.0883855698676937	0.477917981072555	0.441373826845264	0.514700055215665	0.239263550920747	0.757256805491437
"R107C12"	-0.0236755818060415	0.494081381011097	0.476293268471756	0.51188449029361	0.514707197140403	0.88276597498382
"R108A02"	-0.0525459155245689	0.486866542849562	0.468431649856564	0.505337236633637	0.16340943235917	0.611788972369089
"R108G04"	-0.162327340264504	0.459507042253521	0.412596715465381	0.507146085832928	0.0956157695068085	0.515870522699315
"R10G04"	-0.0978183326115377	0.475564897530215	0.439050933576374	0.512341996758073	0.192752102020689	0.680171210578753
"R110H08"	-0.0715670545621559	0.482115869017632	0.446305109411731	0.518111289371449	0.330159719178604	0.851756586452365
"R111E08"	-0.0721706128134957	0.481965174129353	0.442206048737399	0.521953989844555	0.376784837935336	0.862110308261568
"R111F12"	0.000744878991610479	0.500186219739292	0.469281764673194	0.53108925202475	0.990588936146154	0.990588936146154
"R111G02"	-0.0967211530671187	0.475838544627629	0.453853494781249	0.497917639777401	0.0319801223684419	0.228323199235155
"R111G04"	0.0029112102074584	0.500727802037846	0.45757426752546	0.543870496586896	0.973692552623477	0.988418333992562
"R112C11"	-0.0320668757966623	0.491983967935872	0.456202568524971	0.527847681335987	0.66156325813752	0.910761974207259
"R113E02"	-0.0589851550210158	0.485257985257985	0.4457129012061	0.524988525571958	0.467228465021178	0.874628894887205
